Incident_Zip,average_time_per_month,Month
10106,60.31666666666666,3
10106,0.6466666666666666,4
10106,0.0,5
10106,0.0,6
10106,0.0,7
10106,0.0,8
10106,0.0,9
10106,0.0,10
10106,0.0,11
10106,0.0,12
10107,0.0,1
10107,0.0,2
10107,18.682954545454542,3
10107,0.0,4
10107,21.411527777777778,5
10107,0.0,6
10107,0.0,7
10107,2.859583333333333,8
10107,0.0,9
10107,0.0,10
10107,0.0,11
10107,0.0,12
10110,12.721666666666666,1
10110,474.4212037037037,2
10110,0.0,3
10110,0.0,4
10110,0.0,5
10110,0.0,6
10110,2.3223611111111118,7
10110,0.0,8
10110,0.0,9
10110,0.0,10
10110,0.0,11
10110,0.0,12
10111,0.0,1
10111,1413.3508333333334,2
10111,1.2661111111111112,3
10111,10.039814814814816,4
10111,0.0575,5
10111,0.0,6
10111,499.6208333333333,7
10111,0.0,8
10111,0.0,9
10111,0.0,10
10111,0.0,11
10111,0.0,12
10112,0.0,1
10112,408.2559722222222,2
10112,0.0,3
10112,43.39333333333334,4
10112,0.0,5
10112,24.920277777777777,6
10112,410.40333333333336,7
10112,24.799166666666668,8
10112,146.0914814814815,9
10112,0.0,10
10112,0.0,11
10112,0.0,12
10115,0.0,1
10115,0.0,2
10115,171.98694444444445,3
10115,0.0,4
10115,352.6045833333334,5
10115,1072.963611111111,6
10115,389.7578703703704,7
10115,228.9449074074074,8
10115,0.0,9
10115,0.0,10
10115,0.0,11
10115,0.0,12
10118,437.9333796296296,1
10118,40.20291666666667,2
10118,30.24361111111111,3
10118,0.0,4
10118,635.2755555555556,5
10118,0.0,6
10118,30.953611111111112,7
10118,34.76833333333333,8
10118,0.0,9
10118,0.0,10
10118,0.0,11
10118,0.0,12
10119,448.7636111111111,1
10119,20.524675925925926,2
10119,22.578125000000004,3
10119,0.8402777777777778,4
10119,7.911277777777778,5
10119,1.249925925925926,6
10119,3.233763888888889,7
10119,4.076319444444445,8
10119,6.91381313131313,9
10119,0.0,10
10119,0.0,11
10119,0.0,12
10120,635.3035416666667,1
10120,10.325,2
10120,78.9462962962963,3
10120,3.267638888888889,4
10120,0.1431944444444444,5
10120,119.85486111111112,6
10120,110.71444444444444,7
10120,0.7571825396825397,8
10120,0.0,9
10120,0.0,10
10120,0.0,11
10120,0.0,12
10121,443.1860057471264,1
10121,446.75281362007166,2
10121,566.1737847222222,3
10121,10.692256944444445,4
10121,0.2165277777777777,5
10121,2.7862777777777774,6
10121,172.3541111111111,7
10121,291.2886666666667,8
10121,23.81719696969697,9
10121,0.0,10
10121,0.0,11
10121,0.0,12
10122,0.0,1
10122,1151.6479166666666,2
10122,89.16388888888889,3
10122,0.0,4
10122,0.3247222222222222,5
10122,0.0,6
10122,39.75777777777778,7
10122,0.0,8
10122,0.0,9
10122,0.0,10
10122,0.0,11
10122,0.0,12
10123,6.735722222222222,1
10123,3.009097222222222,2
10123,0.0,3
10123,0.0533333333333333,4
10123,0.0,5
10123,1.7075,6
10123,6.48125,7
10123,0.19,8
10123,0.4410185185185185,9
10123,0.0,10
10123,0.0,11
10123,0.0,12
10128,166.36153787878789,1
10128,215.44654250404253,2
10128,206.35517916422572,3
10128,68.54115287490288,4
10128,80.15333411470543,5
10128,93.10892611321816,6
10128,107.93317869415806,7
10128,98.07323259525236,8
10128,35.97579323570432,9
10128,0.0,10
10128,0.0,11
10128,0.0,12
10151,2.854722222222222,1
10151,0.0,2
10151,0.0,3
10151,0.0,4
10151,0.0,5
10151,0.0,6
10151,0.2922222222222222,7
10151,0.2448148148148148,8
10151,2.2670833333333333,9
10151,0.0,10
10151,0.0,11
10151,0.0,12
10152,16.92888888888889,1
10152,22.036527777777778,2
10152,1198.1,3
10152,0.0,4
10152,0.0,5
10152,0.0,6
10152,0.0,7
10152,0.0,8
10152,11.367777777777778,9
10152,0.0,10
10152,0.0,11
10152,0.0,12
10153,0.0,1
10153,0.0,2
10153,0.0,3
10153,0.0,4
10153,0.0,5
10153,184.8437037037037,6
10153,0.4421296296296296,7
10153,0.1911111111111111,8
10153,0.0,9
10153,0.0,10
10153,0.0,11
10153,0.0,12
10154,3.1352777777777776,1
10154,0.0,2
10154,593.5290277777779,3
10154,0.0,4
10154,0.0,5
10154,359.9060185185185,6
10154,22.558333333333334,7
10154,24.87868055555556,8
10154,0.5769444444444445,9
10154,0.0,10
10154,0.0,11
10154,0.0,12
10155,4.200555555555556,1
10155,1520.8005555555555,2
10155,35.92625,3
10155,1.2891666666666666,4
10155,0.0,5
10155,1.6047222222222222,6
10155,0.0,7
10155,0.6133333333333333,8
10155,0.0,9
10155,0.0,10
10155,0.0,11
10155,0.0,12
10158,0.0,1
10158,1570.897222222222,2
10158,24.0,3
10158,0.0,4
10158,0.0,5
10158,0.0,6
10158,0.0,7
10158,0.0711111111111111,8
10158,0.0,9
10158,0.0,10
10158,0.0,11
10158,0.0,12
10162,14.369305555555556,1
10162,0.0,2
10162,10.61088888888889,3
10162,0.44125,4
10162,18.494027777777777,5
10162,42.48506944444444,6
10162,40.29192307692309,7
10162,27.00787037037037,8
10162,0.1555555555555555,9
10162,0.0,10
10162,0.0,11
10162,0.0,12
10165,357.9757638888889,1
10165,4.387083333333333,2
10165,0.0,3
10165,0.5296296296296297,4
10165,971.1036111111111,5
10165,0.0,6
10165,63.98833333333334,7
10165,15.597962962962963,8
10165,0.0,9
10165,0.0,10
10165,0.0,11
10165,0.0,12
10166,0.4405555555555555,1
10166,0.0,2
10166,0.0,3
10166,0.0,4
10166,0.0402777777777777,5
10166,0.0,6
10166,0.0,7
10166,0.0,8
10166,0.0,9
10166,0.0,10
10166,0.0,11
10166,0.0,12
10167,0.0,1
10167,0.0,2
10167,0.0,3
10167,0.0,4
10167,0.0,5
10167,0.0,6
10167,2.478055555555556,7
10167,0.0,8
10167,0.0,9
10167,0.0,10
10167,0.0,11
